No.,Time,Source,Destination,Protocol,Length,Info,Type,Type of attack
1,1742328466.184157,192.168.88.4,52.200.127.40,TCP,226,Ether / IP / TCP 192.168.88.4:61893 > 52.200.127.40:https PA / Raw,Non-Attack,No Attack
2,1742328466.4297702,52.200.127.40,192.168.88.4,TCP,108,Ether / IP / TCP 52.200.127.40:https > 192.168.88.4:61893 PA / Raw,Non-Attack,No Attack
3,1742328466.430507,192.168.88.4,52.200.127.40,TCP,1259,Ether / IP / TCP 192.168.88.4:61893 > 52.200.127.40:https PA / Raw,Non-Attack,No Attack
4,1742328466.6354496,52.200.127.40,192.168.88.4,TCP,608,Ether / IP / TCP 52.200.127.40:https > 192.168.88.4:61893 PA / Raw,Non-Attack,No Attack
5,1742328466.6749587,192.168.88.4,52.200.127.40,TCP,60,Ether / IP / TCP 192.168.88.4:61893 > 52.200.127.40:https A / Padding,Non-Attack,No Attack
6,1742328467.042612,3c:52:a1:c7:0a:36,33:33:00:00:00:01,Other,118,Ether / IPv6 / ICMPv6ND_RA / ICMPv6NDOptPrefixInfo / ICMPv6NDOptMTU / ICMPv6 Neighbor Discovery Option - Source Link-Layer Address 3c:52:a1:c7:0a:36,Non-Attack,No Attack
7,1742328467.062074,08:00:27:92:4e:6f,33:33:00:00:00:16,Other,110,Ether / fe80::a00:27ff:fe92:4e6f > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2,Non-Attack,No Attack
8,1742328467.3629365,08:00:27:92:4e:6f,33:33:00:00:00:16,Other,110,Ether / fe80::a00:27ff:fe92:4e6f > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2,Non-Attack,No Attack
9,1742328467.71146,192.168.88.4,2.18.40.135,TCP,60,Ether / IP / TCP 192.168.88.4:61865 > 2.18.40.135:https A / Raw / Padding,Non-Attack,No Attack
10,1742328467.7737434,9e:53:22:02:d5:32,ff:ff:ff:ff:ff:ff,ARP,60,Ether / ARP who has 192.168.88.6 says 192.168.88.3 / Padding,Non-Attack,No Attack
11,1742328467.7753267,08:00:27:92:4e:6f,9e:53:22:02:d5:32,ARP,60,Ether / ARP is at 08:00:27:92:4e:6f says 192.168.88.6 / Padding,Non-Attack,No Attack
12,1742328467.7765722,2.18.40.135,192.168.88.4,TCP,66,Ether / IP / TCP 2.18.40.135:https > 192.168.88.4:61865 A,Non-Attack,No Attack
13,1742328467.9522035,08:00:27:92:4e:6f,ff:ff:ff:ff:ff:ff,ARP,60,Ether / ARP who has 192.168.88.9 says 192.168.88.6 / Padding,Non-Attack,No Attack
14,1742328467.9524498,08:00:27:ad:93:55,08:00:27:92:4e:6f,ARP,42,Ether / ARP is at 08:00:27:ad:93:55 says 192.168.88.9,Non-Attack,No Attack
15,1742328468.0666223,192.168.88.6,192.168.88.1,UDP,85,"Ether / IP / UDP / DNS Qry ""b'9.88.168.192.in-addr.arpa.'"" ",Non-Attack,No Attack
16,1742328468.0755937,192.168.88.1,192.168.88.6,UDP,140,Ether / IP / UDP / DNS Ans ,Non-Attack,No Attack
17,1742328468.1571383,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:5900 S / Padding,Non-Attack,No Attack
18,1742328468.1684864,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:epmap S / Padding,Non-Attack,No Attack
19,1742328468.1763039,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:5900 > 192.168.88.6:47772 RA,Non-Attack,No Attack
20,1742328468.1770473,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:epmap > 192.168.88.6:47772 RA,Non-Attack,No Attack
21,1742328468.1804566,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:submission S / Padding,Non-Attack,No Attack
22,1742328468.182268,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:imap2 S / Padding,Non-Attack,No Attack
23,1742328468.182799,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:smtp S / Padding,Non-Attack,No Attack
24,1742328468.184091,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:ms_wbt_server S / Padding,Non-Attack,No Attack
25,1742328468.1852071,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:submission > 192.168.88.6:47772 RA,Non-Attack,No Attack
26,1742328468.1889985,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:imap2 > 192.168.88.6:47772 RA,Non-Attack,No Attack
27,1742328468.193105,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:smtp > 192.168.88.6:47772 RA,Non-Attack,No Attack
28,1742328468.1944172,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:ms_wbt_server > 192.168.88.6:47772 RA,Non-Attack,No Attack
29,1742328468.2013934,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:https S / Padding,Non-Attack,No Attack
30,1742328468.2046123,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:http_alt S / Padding,Non-Attack,No Attack
