No.,Time,Source,Destination,Protocol,Length,Info,Type,Type_of_attack
1,2025-07-07 12:18:43,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:41243 > 192.168.100.13:https S",Non-Attack,No Attack
2,2025-07-07 12:18:43,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:https > 192.168.100.1:41243 RA",Non-Attack,No Attack
3,2025-07-07 12:18:43,192.168.100.1,192.168.100.17,ARP,42,"Ether / ARP who has 192.168.100.17 says 192.168.100.1",Non-Attack,No Attack
4,2025-07-07 12:18:43,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:47694 > 192.168.100.13:http_alt S",Non-Attack,No Attack
5,2025-07-07 12:18:43,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:http_alt > 192.168.100.1:47694 RA",Non-Attack,No Attack
6,2025-07-07 12:18:43,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:20572 > 192.168.100.13:https S",Non-Attack,No Attack
7,2025-07-07 12:18:43,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:https > 192.168.100.1:20572 RA",Non-Attack,No Attack
8,2025-07-07 12:18:43,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:23281 > 192.168.100.13:ms_wbt_server S",Non-Attack,No Attack
9,2025-07-07 12:18:43,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:ms_wbt_server > 192.168.100.1:23281 RA",Non-Attack,No Attack
10,2025-07-07 12:18:43,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:16279 > 192.168.100.13:http_alt S",Non-Attack,No Attack
11,2025-07-07 12:18:43,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:http_alt > 192.168.100.1:16279 RA",Non-Attack,No Attack
12,2025-07-07 12:18:43,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:54749 > 192.168.100.13:http S",Attack,DoS (TCP Flood), Port Scan (Nmap)
13,2025-07-07 12:18:43,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:http > 192.168.100.1:54749 RA",Attack,DoS (TCP Flood)
14,2025-07-07 12:18:44,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:19784 > 192.168.100.13:https S",Non-Attack,No Attack
15,2025-07-07 12:18:44,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:https > 192.168.100.1:19784 RA",Non-Attack,No Attack
16,2025-07-07 12:18:44,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:6309 > 192.168.100.13:http_alt S",Non-Attack,No Attack
17,2025-07-07 12:18:44,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:http_alt > 192.168.100.1:6309 RA",Non-Attack,No Attack
18,2025-07-07 12:18:44,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:3280 > 192.168.100.13:ms_wbt_server S",Non-Attack,No Attack
19,2025-07-07 12:18:44,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:ms_wbt_server > 192.168.100.1:3280 RA",Non-Attack,No Attack
20,2025-07-07 12:18:44,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:60795 > 192.168.100.13:ms_wbt_server S",Non-Attack,No Attack
21,2025-07-07 12:18:44,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:ms_wbt_server > 192.168.100.1:60795 RA",Non-Attack,No Attack
22,2025-07-07 12:18:44,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:42467 > 192.168.100.13:https S",Non-Attack,No Attack
23,2025-07-07 12:18:44,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:https > 192.168.100.1:42467 RA",Non-Attack,No Attack
24,2025-07-07 12:18:44,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:64760 > 192.168.100.13:ms_wbt_server S",Attack,DoS (TCP Flood)
25,2025-07-07 12:18:44,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:ms_wbt_server > 192.168.100.1:64760 RA",Attack,DoS (TCP Flood)
26,2025-07-07 12:18:44,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:44649 > 192.168.100.13:ms_wbt_server S",Non-Attack,No Attack
27,2025-07-07 12:18:44,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:ms_wbt_server > 192.168.100.1:44649 RA",Non-Attack,No Attack
28,2025-07-07 12:18:44,192.168.100.1,192.168.100.13,TCP,54,"Ether / IP / TCP 192.168.100.1:3092 > 192.168.100.13:http S",Attack,Port Scan (Nmap)
29,2025-07-07 12:18:44,192.168.100.13,192.168.100.1,TCP,54,"Ether / IP / TCP 192.168.100.13:http > 192.168.100.1:3092 RA",Non-Attack,No Attack
30,2025-07-07 12:18:45,192.168.100.1,192.168.100.18,TCP,54,"Ether / IP / TCP 192.168.100.1:62665 > 192.168.100.18:http_alt S",Non-Attack,No Attack
31,2025-07-07 12:18:45,192.168.100.1,192.168.100.16,TCP,54,"Ether / IP / TCP 192.168.100.1:27450 > 192.168.100.16:https S",Non-Attack,No Attack
32,2025-07-07 12:18:45,192.168.100.1,192.168.100.18,ARP,42,"Ether / ARP who has 192.168.100.18 says 192.168.100.1",Non-Attack,No Attack
33,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
34,2025-07-07 12:18:45,192.168.100.1,192.168.100.16,ARP,42,"Ether / ARP who has 192.168.100.16 says 192.168.100.1",Non-Attack,No Attack
35,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
36,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
37,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
38,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
39,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
40,2025-07-07 12:18:45,192.168.100.1,192.168.100.19,TCP,54,"Ether / IP / TCP 192.168.100.1:27566 > 192.168.100.19:https S",Non-Attack,No Attack
41,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
42,2025-07-07 12:18:45,192.168.100.1,192.168.100.19,ARP,42,"Ether / ARP who has 192.168.100.19 says 192.168.100.1",Non-Attack,No Attack
43,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
44,2025-07-07 12:18:45,192.168.100.1,192.168.100.17,TCP,54,"Ether / IP / TCP 192.168.100.1:45875 > 192.168.100.17:http_alt S",Attack,DoS (TCP Flood)
45,2025-07-07 12:18:45,192.168.100.1,192.168.100.17,ARP,42,"Ether / ARP who has 192.168.100.17 says 192.168.100.1",Non-Attack,No Attack
46,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
47,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
48,2025-07-07 12:18:45,192.168.100.12,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.12 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
49,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
50,2025-07-07 12:18:45,192.168.100.12,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.12 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
51,2025-07-07 12:18:45,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
52,2025-07-07 12:18:46,192.168.100.12,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.12 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
53,2025-07-07 12:18:46,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
54,2025-07-07 12:18:46,192.168.100.12,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.12 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
55,2025-07-07 12:18:46,192.168.100.13,192.168.100.1,ARP,42,"Ether / ARP who has 192.168.100.1 says 192.168.100.13",Non-Attack,No Attack
56,2025-07-07 12:18:46,192.168.100.1,192.168.100.13,ARP,42,"Ether / ARP is at 2a:76:dd:69:6d:a1 says 192.168.100.1",Attack,ARP Spoofing
57,2025-07-07 12:18:46,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
58,2025-07-07 12:18:46,192.168.100.12,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.12 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
59,2025-07-07 12:18:46,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
60,2025-07-07 12:18:46,192.168.100.12,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.12 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
61,2025-07-07 12:18:46,192.168.100.11,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
62,2025-07-07 12:18:46,192.168.100.12,192.168.100.255,ICMP,42,"Ether / IP / ICMP 192.168.100.12 > 192.168.100.255 echo-request 0",Attack,Smurf Attack
